,in400,out40,in1000,out1000,in2000,out2000
2017-07-03,8965921.0,14075171.0,2604726.0,5224773.0,0.0,1514661.0
2017-07-04,15380067.0,18274806.0,6022557.0,8162096.0,1837300.0,3810421.0
2017-07-05,47957089.0,31034714.0,27717300.0,15219652.0,16734399.0,8611488.0
2017-07-06,36737163.0,30187051.0,19453867.0,14450449.0,8732193.0,6312217.0
2017-07-07,10564771.0,11288121.0,3814546.0,4235732.0,1772178.0,956000.0
2017-07-10,13519009.0,12980917.0,6523381.0,5803848.0,1942281.0,863100.0
2017-07-11,22956934.0,13110940.0,12556092.0,4804253.0,6886309.0,1273037.0
2017-07-12,23313333.0,21626099.0,9347771.0,7823279.0,2988303.0,4143235.0
2017-07-13,15651552.0,14129912.0,6998627.0,3335958.0,3020598.0,205800.0
2017-07-14,18944953.0,13616243.0,8428930.0,5298598.0,3709440.0,1498584.0
2017-07-17,51300885.0,36688873.0,29547170.0,17957810.0,16523758.0,6049977.0
2017-07-18,20083123.0,24854376.0,6949193.0,12748903.0,2341567.0,6616506.0
